db,db_label,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,raw_sentence_comparison_count,whole_sem_p90,whole_score,distinct_imagery_count,mihi_full,sentence_pair_count,whole_highsim_ratio,imagery_jaccard_p90,sent_pseudo_ratio,imagery_score,top10_imagery_concentration,whole_pseudo_ratio,sent_highsim_ratio,imagery_jaccard_p50,sentence_count,category_entropy,imagery_entropy,whole_lex_p90,top1_sent_mean,topk_sent_mean,whole_sem_p50,whole_lex_p50,sent_score,whole_pair_count,core_mihi,distinct_category_count,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
b3,五词牌-玉兰主题,deepseek-3.2-thinking,清平乐,26,20,5,20,12160.000000,0.822941,0.636848,58.200000,0.491742,190.000000,0.017895,0.200444,0.644211,0.253949,0.454245,1.000000,0.063860,0.096364,160.000000,0.286397,0.920986,0.344444,0.740842,0.663331,0.772774,0.237037,0.441060,190.000000,0.548743,2.000000,0.519327,0.451810,0.488944,0.059799
b3,五词牌-玉兰主题,deepseek-3.2-thinking,菩萨蛮,33,16,5,16,7680.000000,0.809234,0.619828,48.800000,0.500318,120.000000,0.013333,0.253302,0.578889,0.304988,0.469374,0.991667,0.116111,0.113452,128.000000,0.000000,0.919210,0.315769,0.793899,0.683558,0.748782,0.230769,0.458281,120.000000,0.547131,1.000000,0.503544,0.417356,0.464760,0.082372
b3,五词牌-玉兰主题,doubao-seed-2.0-pro,沁园春,40,13,5,13,48750.000000,0.927587,0.926880,118.400000,0.627825,78.000000,0.982051,0.082037,0.554701,0.105515,0.189063,1.000000,0.276068,0.017095,325.000000,0.605748,0.982157,0.240288,0.883171,0.804430,0.904386,0.173905,0.541789,78.000000,0.753589,2.000000,0.639398,0.458045,0.557789,0.195800
b3,五词牌-玉兰主题,doubao-seed-2.0-pro,浪淘沙,41,20,5,20,19000.000000,0.853370,0.685721,97.200000,0.497704,190.000000,0.127368,0.093434,0.757193,0.142611,0.248334,1.000000,0.032632,0.000000,200.000000,0.330326,0.973824,0.269062,0.728890,0.661793,0.808473,0.193750,0.458877,190.000000,0.583642,1.800000,0.531713,0.445985,0.493135,0.090506
b3,五词牌-玉兰主题,doubao-seed-2.0-pro,清平乐,32,20,5,20,12160.000000,0.828416,0.644241,95.000000,0.484094,190.000000,0.021053,0.096667,0.815088,0.144742,0.267069,1.000000,0.031579,0.000000,160.000000,0.359436,0.968951,0.292593,0.716494,0.653025,0.783013,0.203704,0.472106,190.000000,0.566781,2.000000,0.519327,0.451810,0.488944,0.077836
b3,五词牌-玉兰主题,doubao-seed-2.0-pro,祝英台近,31,19,5,19,43776.000000,0.901479,0.842328,128.800000,0.585034,171.000000,0.691228,0.068718,0.744250,0.131564,0.181603,1.000000,0.122417,0.000000,304.000000,0.237978,0.981381,0.244211,0.803705,0.732218,0.867278,0.174737,0.513353,171.000000,0.694289,1.800000,0.618637,0.466103,0.549997,0.144293
b3,五词牌-玉兰主题,doubao-seed-2.0-pro,菩萨蛮,40,16,5,16,7680.000000,0.822188,0.631656,72.200000,0.489143,120.000000,0.015000,0.157435,0.797778,0.173470,0.338303,1.000000,0.056111,0.043816,128.000000,0.532839,0.956012,0.300000,0.748395,0.672209,0.764000,0.200000,0.486296,120.000000,0.566244,2.000000,0.503544,0.417356,0.464760,0.101485
b3,五词牌-玉兰主题,qwen3.6-plus,沁园春,18,13,5,13,49351.200000,0.916471,0.882243,149.000000,0.616361,78.000000,0.817949,0.122493,0.420513,0.160605,0.228148,1.000000,0.345299,0.056807,327.000000,0.391244,0.964063,0.244906,0.902241,0.813360,0.887424,0.186736,0.534946,78.000000,0.725959,2.000000,0.639398,0.458045,0.557789,0.168170
b3,五词牌-玉兰主题,qwen3.6-plus,浪淘沙,20,20,5,20,19000.000000,0.835968,0.652867,129.000000,0.481453,190.000000,0.047368,0.111111,0.638596,0.200121,0.260638,1.000000,0.036842,0.045455,200.000000,0.000000,0.956940,0.312500,0.718361,0.661607,0.785206,0.217054,0.421824,190.000000,0.548898,1.000000,0.531713,0.445985,0.493135,0.055763
b3,五词牌-玉兰主题,qwen3.6-plus,清平乐,33,20,5,20,12160.000000,0.837555,0.651002,119.800000,0.484647,190.000000,0.060000,0.114699,0.750175,0.148844,0.281591,1.000000,0.038246,0.030000,160.000000,0.511231,0.955262,0.317907,0.740994,0.674562,0.775471,0.228372,0.462649,190.000000,0.566243,2.000000,0.519327,0.451810,0.488944,0.077299
b3,五词牌-玉兰主题,qwen3.6-plus,祝英台近,19,19,5,19,46696.000000,0.886779,0.776394,172.000000,0.560806,171.000000,0.444444,0.080000,0.715400,0.173301,0.185950,1.000000,0.122807,0.037037,314.000000,0.000000,0.968518,0.252632,0.804365,0.738694,0.842942,0.188482,0.505052,171.000000,0.654290,1.000000,0.618637,0.466103,0.549997,0.104293
b3,五词牌-玉兰主题,qwen3.6-plus,菩萨蛮,16,16,5,16,7680.000000,0.814311,0.625450,108.000000,0.475113,120.000000,0.016667,0.105263,0.763889,0.194956,0.251613,1.000000,0.008333,0.042572,128.000000,0.000000,0.965830,0.285714,0.698043,0.637996,0.755647,0.192308,0.441913,120.000000,0.542858,1.000000,0.503544,0.417356,0.464760,0.078099
c1,沁园春-玉兰主题,deepseek-3.2-thinking,沁园春,138,20,5,20,118845.000000,0.909158,0.884297,108.400000,0.630861,190.000000,0.854737,0.172380,0.398596,0.237906,0.323949,1.000000,0.350877,0.069254,500.200000,0.000000,0.942173,0.259260,0.898773,0.822154,0.881204,0.182734,0.529562,190.000000,0.724666,1.000000,0.635898,0.458012,0.555849,0.168817
c1,沁园春-玉兰主题,doubao-seed-2.0-pro,沁园春,154,20,5,20,118750.000000,0.929174,0.927228,167.400000,0.636859,190.000000,0.978947,0.082717,0.377193,0.096986,0.178390,1.000000,0.447368,0.007143,500.000000,0.643495,0.975217,0.273525,0.933073,0.842449,0.905372,0.195683,0.572027,190.000000,0.767388,2.000000,0.635898,0.458012,0.555849,0.211539
c1,沁园春-玉兰主题,qwen3.6-plus,沁园春,64,20,5,20,118750.000000,0.910737,0.873670,188.000000,0.595687,190.000000,0.804211,0.097810,0.569474,0.125373,0.180273,1.000000,0.199649,0.038730,500.000000,0.519143,0.967754,0.227561,0.854429,0.780641,0.879215,0.168701,0.507030,190.000000,0.708682,2.600000,0.635898,0.458012,0.555849,0.152833
c2,沁园春-改革主题,doubao-seed-2.0-pro,沁园春,85,20,5,20,118845.000000,0.928202,0.929135,140.400000,0.642241,190.000000,0.985263,0.120920,0.425614,0.121000,0.212770,1.000000,0.415439,0.021637,500.200000,0.623232,0.970340,0.279137,0.924569,0.826947,0.907243,0.194111,0.571230,190.000000,0.768078,2.800000,0.635898,0.458012,0.555849,0.212229
