ai_uid,db_key,ai_poem_id,model_name,cipai,title,sentence_count,whole_sem_top1_score,whole_sem_top1_source_poem_id,whole_sem_top1_source_title,whole_sem_top1_source_author,whole_sem_percentile,whole_lex_top1_score,whole_lex_top1_source_poem_id,whole_lex_top1_source_title,whole_lex_top1_source_author,whole_lex_percentile,sem_dominant_source_poem_id,sem_dominant_source_title,sem_dominant_source_author,sem_dominant_source_coverage,lex_dominant_source_poem_id,lex_dominant_source_title,lex_dominant_source_author,lex_dominant_source_coverage,distinct_sem_source_poems,distinct_lex_source_poems,max_consecutive_sem_same_source,max_consecutive_lex_same_source,same_source_sentence_count,max_sentence_sem_score,max_sentence_lex_score
b3:470,b3,470,doubao-seed-2.0-pro,清平乐,校园见玉兰作,8,0.8528934717178345,15466,丁香结,周邦彦,0.851123595505618,0.1935483870967742,16552,临江仙,王庭珪,0.03651685393258427,15483,倒犯,周邦彦,0.125,15483,倒犯,周邦彦,0.125,8,8,1,1,1,0.918034,0.8
b3:473,b3,473,doubao-seed-2.0-pro,清平乐,春半见玉兰有怀,8,0.8528900742530823,9892,汉宫春,彭元逊,0.851123595505618,0.19607843137254902,19794,生查子,洪适,0.03651685393258427,12305,浪淘沙,谢懋,0.125,20253,满庭芳,赵彦端,0.125,8,8,1,1,2,0.827028,0.6
b2:355,b2,355,deepseek-3.2-thinking,清平乐,宗门感事,8,0.8528283834457397,11439,结带巾,无名氏,0.851123595505618,0.1694915254237288,16161,鹧鸪天,徐俯,0.0,10810,沁园春,赵通判,0.125,19827,六州歌头,洪适,0.125,8,8,1,1,0,0.797351,0.5
b1:360,b1,360,qwen3.6-plus,浪淘沙,探月,10,0.8528029918670654,15555,满庭芳,周邦彦,0.8971428571428571,0.2206896551724138,16585,感皇恩,王庭珪,0.6914285714285714,7790,沁园春,赵汝腾,0.1,3368,哨遍,辛弃疾,0.1,10,10,1,1,4,0.890967,0.75
b1:352,b1,352,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.8527628183364868,849,望江南・忆江南,王琪,0.8712374581939799,0.22413793103448276,20533,玉团儿,袁去华,0.13712374581939799,20085,菩萨蛮,侯置,0.125,5461,八归,史达祖,0.125,8,8,1,1,2,0.893377,0.888889
c1:233,c1,233,deepseek-3.2-thinking,沁园春,玉兰春感,25,0.8527372479438782,9626,摸鱼儿,颜奎,0.05200945626477541,0.17985611510791366,5960,沁园春,洪咨夔,0.1347517730496454,17603,减字木兰花,李纲,0.04,10333,夜行船,仇远,0.08,25,24,1,1,9,1.0,1.0
c2:104,c2,104,deepseek-3.2-thinking,沁园春,宗门感怀,25,0.8526005148887634,18974,水龙吟,曹勋,0.05200945626477541,0.19285714285714287,6010,沁园春,刘镇2,0.34988179669030733,13997,念奴娇,郑达可,0.04,20431,六州,洪迈,0.04,25,25,1,1,2,0.855236,0.666667
b3:223,b3,223,qwen3.6-plus,浪淘沙,玉兰启悟,8,0.8525356650352478,11155,鹧鸪天,无名氏,0.8971428571428571,0.21487603305785125,3056,朝中措,王炎2,0.48,12010,虞美人,葛胜仲,0.125,15011,独倚楼・更漏子,贺铸,0.125,8,8,1,1,2,0.902894,0.769231
b1:62,b1,62,doubao-seed-2.0-pro,祝英台近,西山访隐不遇,16,0.8525172472000122,16443,西河,刘一止,0.4142857142857143,0.19047619047619047,2526,菩萨蛮,丘崈,0.4,15520,意难忘,周邦彦,0.0625,23,酒泉子,潘阆,0.0625,16,16,1,1,2,1.0,1.0
b3:461,b3,461,doubao-seed-2.0-pro,沁园春,校中见玉兰花作,25,0.8525058031082153,9626,摸鱼儿,颜奎,0.04964539007092199,0.16216216216216217,7492,醉蓬莱,李曾伯,0.0070921985815602835,2490,沁园春,丘崈,0.04,7881,霜叶飞,吴文英,0.04,25,25,1,1,7,1.0,1.0
b3:109,b3,109,deepseek-3.2-thinking,菩萨蛮,遇玉兰有感,8,0.8524174690246582,10667,壶中天・念奴娇,张炎,0.8678929765886287,0.19469026548672566,18356,柳梢青,张元干,0.011705685618729096,11479,忆秦娥,无名氏,0.125,11479,忆秦娥,无名氏,0.125,8,8,1,1,2,0.900265,0.75
b2:296,b2,296,deepseek-3.2-thinking,清平乐,宗规感怀,8,0.852369487285614,7759,哨遍,方岳,0.851123595505618,0.23853211009174313,2531,诉衷情,丘崈,0.6179775280898876,19798,满江红,洪适,0.125,20756,念奴娇,管鉴,0.125,8,8,1,1,1,0.869047,0.8
b1:454,b1,454,deepseek-3.2-thinking,浪淘沙,江畔晚眺,10,0.852354884147644,7753,齐天乐,方岳,0.8971428571428571,0.208955223880597,6341,临江仙,张辑,0.48,8522,风流子,王泳祖,0.1,17489,水调歌头,魏了翁,0.1,10,10,1,1,4,1.0,1.0
a1:383,a1,383,gemini-3-flash,临江仙,数字残梦,10,0.852245569229126,9595,摸鱼儿,刘辰翁,0.8153526970954357,0.17647058823529413,20538,虞美人,袁去华,0.035269709543568464,484,木兰花・玉楼春,晏殊,0.1,18547,满庭芳,王之道,0.1,10,10,1,1,3,0.849347,0.666667
a1:17,a1,17,qwen3.6-plus,鹧鸪天,秋江夜泊,10,0.8522398471832275,8318,摸鱼儿,李演,0.7929984779299848,0.19791666666666666,9863,酹江月・念奴娇,文天祥,0.1750380517503805,17611,感皇恩,李纲,0.1,8017,喜迁莺,吴文英,0.1,10,10,1,1,3,1.0,1.0
b2:156,b2,156,doubao-seed-2.0-pro,浪淘沙,云阁晚眺有感,10,0.852157711982727,9539,法驾导引,刘辰翁,0.8971428571428571,0.20634920634920634,20899,秋波媚・眼儿媚,陆游,0.48,10589,台城路・齐天乐,张炎,0.1,10258,秦楼月・忆秦娥,黎廷瑞,0.1,10,10,1,1,3,1.0,1.0
b3:125,b3,125,deepseek-3.2-thinking,浪淘沙,玉兰新赋,10,0.852125883102417,19208,白苎,史浩,0.8971428571428571,0.20689655172413793,467,采桑子,晏殊,0.48,5180,水调歌头,徐冲渊,0.1,7541,水调歌头,李曾伯,0.1,10,10,1,1,2,0.960327,0.8
a1:140,a1,140,qwen3.5-flash,苏幕遮,寒江夜渡,13,0.85206538438797,9863,酹江月・念奴娇,文天祥,0.8620689655172413,0.19289340101522842,17975,满庭芳,蔡伸,0.5172413793103449,12532,霜叶飞,方千里,0.07692307692307693,1040,清平乐,王安石,0.07692307692307693,13,13,1,1,4,0.920376,0.8
c2:131,c2,131,deepseek-3.2-thinking,沁园春,宗门抒怀,26,0.8520631790161133,18624,六州歌头,王之道,0.04964539007092199,0.18772563176895307,8779,沁园春,陈人杰,0.3073286052009456,17629,水龙吟,李纲,0.038461538461538464,13734,庆清朝,李朴,0.038461538461538464,26,26,1,1,6,0.929287,0.888889
a1:282,a1,282,deepseek-3.2-thinking,浣溪沙,春游,6,0.8520433902740479,12060,阮郎归,米友仁,0.8737113402061856,0.22916666666666666,16162,浣溪沙,徐俯,0.7126288659793815,18420,选冠子,吕渭老,0.16666666666666666,3660,醉落魄・一斛珠,赵善括,0.16666666666666666,6,6,1,1,3,1.0,1.0
b3:27,b3,27,deepseek-3.2-thinking,清平乐,见玉兰感怀,8,0.8520172834396362,12999,蓦山溪,向子諲,0.851123595505618,0.2191780821917808,17896,临江仙,邢俊臣,0.31179775280898875,13065,女冠子,无名氏,0.125,13065,女冠子,无名氏,0.125,8,8,1,1,1,0.839826,0.75
