scope,cipai,length_bucket,metric_type,count,mean,p50,p90,p95,p99,max
sentence,永遇乐,<=5,semantic,1341,0.7071796764107803,0.6922885775566101,0.8188218474388123,0.8829471468925476,1.0,1.0000003576278687
sentence,永遇乐,<=5,lexical,1341,0.39155707992397026,0.3333333333333333,0.5714285714285714,0.6666666666666666,1.0,1.0
sentence,江城子,6-8,semantic,474,0.6779383100286315,0.6664052605628967,0.7683763563632965,0.7999343067407607,0.9999999403953552,1.0000003576278687
sentence,江城子,6-8,lexical,474,0.37200324288931885,0.36363636363636365,0.5454545454545454,0.6,1.0,1.0
sentence,江城子,9-11,semantic,7,0.6243506840297154,0.6268012523651123,0.6606093645095825,0.6609202325344086,0.6611689269542694,0.6612311005592346
sentence,江城子,9-11,lexical,7,0.27582417582417584,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077
sentence,江城子,<=5,semantic,1346,0.7477825292417943,0.7315490543842316,0.8861058354377747,0.9999997019767761,1.000000238418579,1.0000005960464478
sentence,江城子,<=5,lexical,1346,0.46034260027573554,0.36363636363636365,0.6666666666666666,1.0,1.0,1.0
sentence,沁园春,6-8,semantic,1562,0.7039244448940214,0.695345938205719,0.7931195020675659,0.8287419289350509,0.9319424086809103,1.0000008344650269
sentence,沁园春,6-8,lexical,1562,0.4096963962200838,0.4,0.5454545454545454,0.6,0.8366386554621805,1.0
sentence,沁园春,9-11,semantic,63,0.67238026668155,0.6689767241477966,0.7384350657463075,0.7577448904514312,0.8541231369972233,0.9585436582565308
sentence,沁园春,9-11,lexical,63,0.35412780619547535,0.3076923076923077,0.47058823529411764,0.6038461538461537,0.7004411764705887,0.8235294117647058
sentence,沁园春,<=5,semantic,8890,0.7590997161827688,0.7438799440860748,0.8797146618366241,0.9675722628831827,1.000000238418579,1.0000009536743164
sentence,沁园春,<=5,lexical,8890,0.4972855203788837,0.5,0.75,0.8888888888888888,1.0,1.0
sentence,浣溪沙,6-8,semantic,4636,0.7159135987189846,0.71024489402771,0.8027154505252838,0.835097000002861,0.9999990463256836,1.0000008344650269
sentence,浣溪沙,6-8,lexical,4636,0.35415675064078855,0.2857142857142857,0.42857142857142855,0.5714285714285714,1.0,1.0
sentence,浣溪沙,9-11,semantic,6,0.6257389088471731,0.6092548072338104,0.6956410706043243,0.7012961953878403,0.7058202952146531,0.7069513201713562
sentence,浣溪沙,9-11,lexical,6,0.28703703703703703,0.29166666666666663,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
sentence,浣溪沙,<=5,semantic,30,0.6775059282779694,0.6700529754161835,0.7778237581253051,0.7892054617404938,0.8016272181272507,0.8045392632484436
sentence,浣溪沙,<=5,lexical,30,0.4077777777777778,0.4,0.6,0.6,0.6,0.6
sentence,浪淘沙,6-8,semantic,710,0.6857327437736619,0.6753236055374146,0.7707547545433044,0.8031714290380478,1.0000000977516175,1.0000004768371582
sentence,浪淘沙,6-8,lexical,710,0.3627099191887924,0.36363636363636365,0.5,0.5714285714285714,1.0,1.0
sentence,浪淘沙,9-11,semantic,9,0.5993353592024909,0.5875886082649231,0.6458751559257507,0.6784400343894958,0.704491937160492,0.711004912853241
sentence,浪淘沙,9-11,lexical,9,0.2834249084249084,0.2857142857142857,0.38571428571428573,0.4071428571428571,0.42428571428571427,0.42857142857142855
sentence,浪淘沙,<=5,semantic,1066,0.7159865615962817,0.7092583179473877,0.8307364583015442,0.877964973449707,1.0,1.0000003576278687
sentence,浪淘沙,<=5,lexical,1066,0.42270675436716715,0.4444444444444444,0.5454545454545454,0.75,1.0,1.0
sentence,清平乐,12-14,semantic,1,0.6472377777099609,0.6472377777099609,0.6472377777099609,0.6472377777099609,0.6472377777099609,0.6472377777099609
sentence,清平乐,12-14,lexical,1,0.2,0.2,0.2,0.2,0.2,0.2
sentence,清平乐,6-8,semantic,2126,0.7213967075520602,0.7142636477947235,0.8215885162353516,0.881540834903717,1.0000001192092896,1.0000007152557373
sentence,清平乐,6-8,lexical,2126,0.4007252546763365,0.36363636363636365,0.5454545454545454,0.6666666666666666,1.0,1.0
sentence,清平乐,<=5,semantic,716,0.7239636582785478,0.7106656730175018,0.8323597609996796,0.8714839369058609,1.000000238418579,1.0000003576278687
sentence,清平乐,<=5,lexical,716,0.4298563246188945,0.4,0.6,0.75,1.0,1.0
sentence,满庭芳,6-8,semantic,1605,0.7239873839315967,0.7081812620162964,0.8378181099891666,0.8956037044525145,1.0000001192092896,1.0000004768371582
sentence,满庭芳,6-8,lexical,1605,0.4348988965344106,0.4,0.6092307692307714,0.8,1.0,1.0
sentence,满庭芳,9-11,semantic,19,0.6503855774277135,0.6313217878341675,0.7291890978813171,0.7906436979770659,0.8128932011127472,0.8184555768966675
sentence,满庭芳,9-11,lexical,19,0.4098280202769367,0.4,0.5516666666666665,0.6291666666666665,0.6591666666666667,0.6666666666666666
sentence,满庭芳,<=5,semantic,4999,0.7713691616182352,0.751245379447937,0.9413586616516112,0.9999999403953552,1.0000004768371582,1.0000009536743164
sentence,满庭芳,<=5,lexical,4999,0.5292303715488352,0.5,0.8571428571428571,1.0,1.0,1.0
sentence,满江红,12-14,semantic,2,0.5974659621715546,0.5974659621715546,0.6059245526790619,0.6069818764925003,0.607827735543251,0.6080392003059387
sentence,满江红,12-14,lexical,2,0.22567287784679088,0.22567287784679088,0.25383022774327124,0.25734989648033124,0.2601656314699793,0.2608695652173913
sentence,满江红,6-8,semantic,3226,0.7038744391304177,0.6952189803123474,0.7888790369033813,0.8249364495277405,0.9644376635551453,1.0000004768371582
sentence,满江红,6-8,lexical,3226,0.4122886263226504,0.4,0.5714285714285714,0.6,0.875,1.0
sentence,满江红,9-11,semantic,1043,0.699939545140399,0.6924944519996643,0.7790059447288513,0.8087084591388702,0.9541526436805725,1.0
sentence,满江红,9-11,lexical,1043,0.4020366265862557,0.35294117647058826,0.5,0.5555555555555556,0.8888888888888888,1.0
sentence,满江红,<=5,semantic,5538,0.7855987922729418,0.7729603350162506,0.911391818523407,0.9999998211860657,1.0000003576278687,1.0000009536743164
sentence,满江红,<=5,lexical,5538,0.5391904722619782,0.5714285714285714,0.75,1.0,1.0,1.0
sentence,相见欢,6-8,semantic,16,0.5786043088883162,0.5719490945339203,0.6513898968696594,0.675688162446022,0.7226506024599075,0.7343912124633789
sentence,相见欢,6-8,lexical,16,0.24513888888888888,0.2222222222222222,0.3472222222222222,0.4444444444444444,0.4444444444444444,0.4444444444444444
sentence,相见欢,9-11,semantic,32,0.5751932458952069,0.5720735788345337,0.6147850394248963,0.631696742773056,0.7086994779109956,0.7343912124633789
sentence,相见欢,9-11,lexical,32,0.22686298076923078,0.2,0.3,0.3076923076923077,0.3076923076923077,0.3076923076923077
sentence,相见欢,<=5,semantic,64,0.6440023984760046,0.6062377095222473,0.7891889631748199,0.8775193512439723,0.8940591216087341,0.8940591216087341
sentence,相见欢,<=5,lexical,64,0.3050213675213675,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.6666666666666666
