db,db_label,prompt_type,model,total_poems,avg_rhythm_score,median_rhythm_score,p25_rhythm_score,p75_rhythm_score,perfect_100_ratio,high_quality_ratio,mid_quality_ratio,low_quality_ratio,zero_score_ratio,issue_free_ratio,avg_raw_issue_count,avg_substantive_issue_count,length_mismatch_poem_ratio,length_mismatch_avg_count,tone_expected_flat_poem_ratio,tone_expected_flat_avg_count,tone_expected_oblique_poem_ratio,tone_expected_oblique_avg_count,rhyme_mismatch_poem_ratio,rhyme_mismatch_avg_count,unknown_char_poem_ratio,unknown_char_avg_count,variant_autocorrect_poem_ratio,variant_autocorrect_avg_count,other_poem_ratio,other_avg_count
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,200,51.920000,52.000000,0.000000,100.000000,0.265000,0.375000,0.115000,0.230000,0.280000,0.265000,4.235000,4.090000,0.165000,0.165000,0.530000,2.275000,0.485000,1.565000,0.055000,0.085000,0.000000,0.000000,0.145000,0.145000,0.000000,0.000000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,200,81.080000,100.000000,76.000000,100.000000,0.520000,0.675000,0.160000,0.100000,0.065000,0.520000,1.650000,1.480000,0.050000,0.050000,0.385000,0.805000,0.265000,0.605000,0.020000,0.020000,0.000000,0.000000,0.170000,0.170000,0.000000,0.000000
b2,五词牌-改革主题,type_d,gemini-3.1-pro,4,100.000000,100.000000,100.000000,100.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.250000,0.000000,0.000000
b2,五词牌-改革主题,type_d,glm-5,63,47.873016,52.000000,0.000000,100.000000,0.317460,0.365079,0.095238,0.126984,0.412698,0.317460,1.492063,1.317460,0.412698,0.412698,0.222222,0.460317,0.269841,0.444444,0.000000,0.000000,0.000000,0.000000,0.174603,0.174603,0.000000,0.000000
b2,五词牌-改革主题,type_d,qwen3.6-plus,161,59.428571,88.000000,0.000000,100.000000,0.440994,0.503106,0.111801,0.037267,0.347826,0.440994,1.689441,1.577640,0.304348,0.304348,0.217391,0.608696,0.198758,0.509317,0.068323,0.155280,0.000000,0.000000,0.111801,0.111801,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,200,55.020000,64.000000,0.000000,100.000000,0.320000,0.425000,0.140000,0.110000,0.325000,0.320000,3.970000,3.795000,0.205000,0.205000,0.445000,1.960000,0.380000,1.490000,0.075000,0.135000,0.005000,0.005000,0.175000,0.175000,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,200,87.040000,100.000000,88.000000,100.000000,0.665000,0.780000,0.140000,0.015000,0.065000,0.655000,1.035000,0.830000,0.055000,0.055000,0.225000,0.435000,0.190000,0.310000,0.020000,0.020000,0.010000,0.010000,0.205000,0.205000,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,2,100.000000,100.000000,100.000000,100.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,189,53.587302,76.000000,0.000000,100.000000,0.333333,0.423280,0.137566,0.063492,0.375661,0.333333,2.116402,2.010582,0.333333,0.333333,0.269841,0.809524,0.248677,0.708995,0.089947,0.153439,0.005291,0.005291,0.105820,0.105820,0.000000,0.000000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,200,63.480000,88.000000,0.000000,100.000000,0.325000,0.515000,0.175000,0.045000,0.265000,0.320000,7.580000,7.580000,0.010000,0.010000,0.630000,4.115000,0.470000,3.400000,0.040000,0.050000,0.005000,0.005000,0.000000,0.000000,0.000000,0.000000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,200,74.660000,100.000000,75.000000,100.000000,0.570000,0.665000,0.105000,0.035000,0.195000,0.570000,4.520000,4.520000,0.005000,0.005000,0.380000,2.560000,0.340000,1.855000,0.045000,0.090000,0.010000,0.010000,0.000000,0.000000,0.000000,0.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,2,100.000000,100.000000,100.000000,100.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,149,41.718121,0.000000,0.000000,100.000000,0.322148,0.382550,0.046980,0.026846,0.543624,0.315436,5.570470,5.570470,0.355705,0.355705,0.302013,2.838926,0.241611,2.302013,0.046980,0.053691,0.020134,0.020134,0.000000,0.000000,0.000000,0.000000
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,99,18.585859,0.000000,0.000000,40.000000,0.010101,0.040404,0.141414,0.161616,0.656566,0.010101,15.101010,15.101010,0.080808,0.080808,0.898990,8.878788,0.777778,5.969697,0.131313,0.171717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,100,79.760000,88.000000,76.000000,100.000000,0.470000,0.700000,0.150000,0.040000,0.110000,0.470000,2.740000,2.740000,0.020000,0.020000,0.450000,1.590000,0.300000,1.080000,0.030000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
c2,沁园春-改革主题,type_e,qwen3.6-plus,65,28.676923,0.000000,0.000000,76.000000,0.184615,0.246154,0.046154,0.046154,0.661538,0.184615,7.200000,7.200000,0.415385,0.415385,0.384615,3.692308,0.353846,2.876923,0.076923,0.200000,0.015385,0.015385,0.000000,0.000000,0.000000,0.000000
