db,db_label,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,imagery_jaccard_p50,category_entropy,whole_score,distinct_imagery_count,whole_lex_p50,raw_sentence_comparison_count,sent_highsim_ratio,imagery_entropy,sentence_count,imagery_jaccard_p90,mihi_full,whole_sem_p90,whole_pair_count,whole_sem_p50,sent_score,distinct_category_count,imagery_score,top1_sent_mean,sentence_pair_count,whole_highsim_ratio,top10_imagery_concentration,topk_sent_mean,whole_pseudo_ratio,sent_pseudo_ratio,whole_lex_p90,core_mihi,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
b2,五词牌-改革主题,deepseek-3.2-thinking,清平乐,31,20,5,20,0.000000,0.964888,0.663308,73.600000,0.218519,12160.000000,0.032281,0.984904,160.000000,0.105586,0.451073,0.845762,190.000000,0.787581,0.388702,3.000000,0.082691,0.735088,190.000000,0.078947,0.256368,0.649784,1.000000,0.517544,0.289259,0.539736,0.519327,0.451810,0.488944,0.050791
b2,五词牌-改革主题,deepseek-3.2-thinking,菩萨蛮,20,12,5,12,0.000000,0.934891,0.652650,46.000000,0.211538,4224.000000,0.047475,0.993899,96.000000,0.020000,0.450764,0.838361,66.000000,0.785315,0.412625,2.600000,0.063263,0.726258,66.000000,0.042424,0.255710,0.641866,1.000000,0.585859,0.292033,0.544639,0.489113,0.427798,0.461521,0.083118
b2,五词牌-改革主题,doubao-seed-2.0-pro,沁园春,28,16,5,16,0.060280,0.700551,0.933554,133.800000,0.194910,75000.000000,0.357222,0.962529,400.000000,0.158391,0.635838,0.931133,120.000000,0.911095,0.533662,2.800000,0.144786,0.900910,120.000000,0.993333,0.251992,0.814434,1.000000,0.401667,0.276477,0.753603,0.628542,0.459472,0.552461,0.201142
b2,五词牌-改革主题,doubao-seed-2.0-pro,浪淘沙,32,16,5,16,0.013810,0.783948,0.676859,71.200000,0.170313,12000.000000,0.045556,0.968452,160.000000,0.131847,0.485520,0.849844,120.000000,0.802479,0.444646,3.000000,0.126535,0.713078,120.000000,0.103333,0.319900,0.639313,1.000000,0.708333,0.253125,0.572363,0.534417,0.438472,0.491242,0.081121
b2,五词牌-改革主题,doubao-seed-2.0-pro,清平乐,43,20,5,20,0.000000,0.892198,0.666908,81.000000,0.196296,12160.000000,0.029123,0.976135,160.000000,0.096667,0.470135,0.843288,190.000000,0.797107,0.433357,2.400000,0.091755,0.687797,190.000000,0.076842,0.272108,0.617398,1.000000,0.717895,0.300370,0.561810,0.519327,0.451810,0.488944,0.072866
b2,五词牌-改革主题,doubao-seed-2.0-pro,祝英台近,20,20,5,20,0.000000,0.749782,0.849891,113.000000,0.178947,48640.000000,0.070175,0.976903,320.000000,0.076923,0.560365,0.892746,190.000000,0.865186,0.455668,3.000000,0.092151,0.760415,190.000000,0.747368,0.227941,0.688857,1.000000,0.664912,0.252632,0.672491,0.627816,0.461108,0.552798,0.119693
b2,五词牌-改革主题,doubao-seed-2.0-pro,菩萨蛮,12,12,5,12,0.000000,0.835989,0.614188,65.000000,0.173077,4224.000000,0.000000,0.988981,96.000000,0.095455,0.448297,0.801002,66.000000,0.747774,0.438196,3.000000,0.092718,0.652574,66.000000,0.000000,0.256757,0.590451,1.000000,0.808081,0.250000,0.534992,0.489113,0.427798,0.461521,0.073471
b2,五词牌-改革主题,qwen3.6-plus,沁园春,16,16,5,16,0.060915,0.886860,0.924602,202.000000,0.161280,75751.000000,0.258333,0.965963,402.000000,0.121212,0.606617,0.936664,120.000000,0.903873,0.485623,3.000000,0.102893,0.877076,120.000000,0.958333,0.182759,0.785789,1.000000,0.397222,0.209353,0.727061,0.628542,0.459472,0.552461,0.174601
b2,五词牌-改革主题,qwen3.6-plus,浪淘沙,16,16,5,16,0.045455,0.838779,0.786324,121.000000,0.203125,12000.000000,0.094444,0.966795,160.000000,0.111765,0.530375,0.887121,120.000000,0.847042,0.441312,3.000000,0.110352,0.761782,120.000000,0.483333,0.235294,0.678718,1.000000,0.583333,0.298438,0.631069,0.534417,0.438472,0.491242,0.139827
b2,五词牌-改革主题,qwen3.6-plus,清平乐,28,20,5,20,0.000000,0.970893,0.665453,151.400000,0.162963,12160.000000,0.007719,0.985021,160.000000,0.060451,0.459061,0.844516,190.000000,0.787985,0.427409,3.000000,0.050069,0.649494,190.000000,0.090526,0.152737,0.595430,1.000000,0.764912,0.237407,0.558333,0.519327,0.451810,0.488944,0.069389
b2,五词牌-改革主题,qwen3.6-plus,菩萨蛮,18,12,5,12,0.000000,0.832088,0.673331,90.400000,0.176923,4224.000000,0.006061,0.981960,96.000000,0.090685,0.475712,0.851112,66.000000,0.788721,0.443460,2.400000,0.087510,0.670120,66.000000,0.118182,0.231218,0.615836,1.000000,0.800000,0.255769,0.569889,0.489113,0.427798,0.461521,0.108368
b3,五词牌-玉兰主题,deepseek-3.2-thinking,沁园春,9,9,5,9,0.057190,0.503258,0.921262,56.000000,0.193896,22700.000000,0.416667,0.968983,226.000000,0.129167,0.641702,0.925415,36.000000,0.898386,0.547763,2.000000,0.177084,0.918469,36.000000,0.972222,0.360000,0.848260,1.000000,0.351852,0.251799,0.753187,0.614447,0.462355,0.546005,0.207182
b3,五词牌-玉兰主题,deepseek-3.2-thinking,浪淘沙,29,17,5,17,0.142262,0.513317,0.637272,46.400000,0.225000,13600.000000,0.116667,0.897963,170.000000,0.259048,0.490859,0.828070,136.000000,0.767702,0.427822,2.200000,0.271745,0.794537,136.000000,0.025000,0.491599,0.705935,0.997059,0.475980,0.325000,0.543020,0.538508,0.445435,0.496625,0.046395
b3,五词牌-玉兰主题,deepseek-3.2-thinking,清平乐,23,20,5,20,0.091970,0.000000,0.642988,57.400000,0.240741,12160.000000,0.076140,0.925321,160.000000,0.200000,0.502335,0.828107,190.000000,0.775217,0.447772,1.000000,0.281352,0.747894,190.000000,0.034737,0.458473,0.669040,1.000000,0.643158,0.348148,0.555141,0.519327,0.451810,0.488944,0.066197
b3,五词牌-玉兰主题,deepseek-3.2-thinking,菩萨蛮,21,14,5,14,0.130159,0.296986,0.622292,42.000000,0.226923,5824.000000,0.118681,0.916371,112.000000,0.267316,0.498533,0.811198,91.000000,0.745557,0.456848,1.800000,0.293022,0.799751,91.000000,0.030769,0.509866,0.691404,0.989011,0.564835,0.338462,0.547842,0.501671,0.427962,0.468502,0.079341
b3,五词牌-玉兰主题,doubao-seed-2.0-pro,沁园春,31,9,5,9,0.022867,0.659826,0.924023,89.000000,0.158993,22500.000000,0.255556,0.986240,225.000000,0.097285,0.623235,0.929024,36.000000,0.901743,0.529085,2.000000,0.111226,0.872875,36.000000,0.972222,0.217539,0.795632,1.000000,0.550000,0.222302,0.746301,0.614447,0.462355,0.546005,0.200296
