db,db_label,prompt_type,category,imagery,count,proportion,poem_coverage_count,poem_coverage_ratio,db_poem_coverage_ratio,lift_vs_db,rank,category_poem_count,total_imagery_tokens
a1,无限制生成,type_c,谈禅说理,虚空,3,0.010067,3,0.100000,0.017413,5.742857,6,30,298
a1,无限制生成,type_c,谈禅说理,芥子,3,0.010067,3,0.100000,0.007463,13.400000,7,30,298
a1,无限制生成,type_c,谈禅说理,须弥,3,0.010067,3,0.100000,0.007463,13.400000,8,30,298
a1,无限制生成,type_c,谈禅说理,灵犀,3,0.010067,3,0.100000,0.017413,5.742857,9,30,298
a1,无限制生成,type_c,谈禅说理,星槎,2,0.006711,2,0.066667,0.037313,1.786667,10,30,298
a1,无限制生成,type_c,谈禅说理,银汉,2,0.006711,2,0.066667,0.027363,2.436364,11,30,298
a1,无限制生成,type_c,谈禅说理,云鹤,2,0.006711,2,0.066667,0.004975,13.400000,12,30,298
a1,无限制生成,type_c,谈禅说理,玉宇,2,0.006711,2,0.066667,0.009950,6.700000,13,30,298
a1,无限制生成,type_c,谈禅说理,空庭,2,0.006711,2,0.066667,0.019900,3.350000,14,30,298
a1,无限制生成,type_c,谈禅说理,星斗,2,0.006711,2,0.066667,0.059701,1.116667,15,30,298
a1,无限制生成,type_c,谈禅说理,河汉,2,0.006711,2,0.066667,0.007463,8.933333,16,30,298
a1,无限制生成,type_c,谈禅说理,白露,2,0.006711,2,0.066667,0.009950,6.700000,17,30,298
a1,无限制生成,type_c,谈禅说理,芳醑,2,0.006711,2,0.066667,0.004975,13.400000,18,30,298
a1,无限制生成,type_c,谈禅说理,寒星,2,0.006711,2,0.066667,0.037313,1.786667,19,30,298
a1,无限制生成,type_c,谈禅说理,万象,2,0.006711,2,0.066667,0.007463,8.933333,20,30,298
a1,无限制生成,type_c,豪情壮志,星河,8,0.017817,8,0.195122,0.084577,2.307030,1,41,449
a1,无限制生成,type_c,豪情壮志,银汉,7,0.015590,7,0.170732,0.027363,6.239468,2,41,449
a1,无限制生成,type_c,豪情壮志,星斗,6,0.013363,6,0.146341,0.059701,2.451220,3,41,449
a1,无限制生成,type_c,豪情壮志,长空,5,0.011136,5,0.121951,0.024876,4.902439,4,41,449
a1,无限制生成,type_c,豪情壮志,数据,5,0.011136,5,0.121951,0.057214,2.131495,5,41,449
a1,无限制生成,type_c,豪情壮志,尘寰,5,0.011136,5,0.121951,0.014925,8.170732,6,41,449
a1,无限制生成,type_c,豪情壮志,流光,5,0.011136,5,0.121951,0.062189,1.960976,7,41,449
a1,无限制生成,type_c,豪情壮志,吴钩,4,0.008909,4,0.097561,0.017413,5.602787,8,41,449
a1,无限制生成,type_c,豪情壮志,长风,4,0.008909,4,0.097561,0.012438,7.843902,9,41,449
