db,db_label,prompt_type,model,total_poems,imagery_covered_poems,imagery_coverage,total_imagery_tokens,distinct_imagery_count,avg_imagery_per_poem,imagery_entropy,imagery_hhi,top10_imagery_ratio,top10_imageries
a1,无限制生成,type_c,qwen3.6-plus,49,49,1.000000,659,397,13.448980,8.224560,0.004953,0.147193,孤舟:13|雁字:13|西风:12|芦花:11|星斗:9|星槎:9|暮云:8|汀洲:8|烟波:7|明月:7
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,200,200,1.000000,2049,892,10.245000,9.102640,0.003247,0.109810,明月:44|暮云:26|数据:24|星河:21|青山:21|代码:21|斜阳:19|孤舟:17|星斗:17|清风:15
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,200,200,1.000000,2407,1239,12.035000,9.701772,0.002035,0.079352,西风:24|疏钟:23|汀洲:23|明月:20|篱菊:20|孤篷:19|归鸿:16|丹枫:16|阑干:15|归雁:15
b1,五词牌-无主题,type_b,glm-5,98,98,1.000000,1031,610,10.520408,8.824946,0.003391,0.113482,斜阳:18|阑干:15|西风:15|明月:15|梅花:9|闲云:9|烟水:9|孤舟:9|流水:9|危楼:9
b1,五词牌-无主题,type_b,qwen3.6-plus,188,188,1.000000,2561,989,13.622340,9.045397,0.003916,0.136275,孤舟:54|雁字:49|芦花:41|暮云:39|荻花:37|明月:29|西风:29|长亭:28|烟波:22|寒星:21
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,200,200,1.000000,1000,476,5.000000,8.199615,0.006002,0.168000,春风:25|晨钟:23|暮鼓:22|宗门:18|剑气:16|明月:14|樊笼:13|剑光:13|剑影:12|长空:12
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,200,200,1.000000,1373,743,6.865000,8.912367,0.003771,0.130371,樊笼:26|劫火:23|松风:21|雏鹰:18|云:17|丹台:17|鹤:15|松阶:15|殿角:14|灵根:13
b2,五词牌-改革主题,type_d,gemini-3.1-pro,4,4,1.000000,39,37,9.750000,5.182838,0.028271,0.307692,清规:2|剑气:2|仙阶:1|千山雪:1|灵犀:1|剑光:1|劫风:1|险关:1|高堂:1|霜叶:1
b2,五词牌-改革主题,type_d,glm-5,63,63,1.000000,426,268,6.761905,7.628713,0.008761,0.192488,樊笼:23|剑气:13|清规:10|灵台:8|稚子:6|霜锋:5|妖氛:5|重关:4|危楼:4|烽烟:4
b2,五词牌-改革主题,type_d,qwen3.6-plus,161,161,1.000000,1905,899,11.832298,9.039230,0.003796,0.133333,铁律:32|青衿:30|星斗:30|剑阁:29|灵根:28|劫火:27|重关:23|剑阵:19|霜刃:18|青锋:18
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,200,200,1.000000,1064,328,5.320000,6.977527,0.028383,0.340226,玉兰:153|玉树:37|风霜:28|清香:28|春风:26|风雨:23|书窗:18|白雪:17|幽香:16|明月:16
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,200,200,1.000000,1548,712,7.740000,8.762784,0.004442,0.142119,玉兰:46|灯窗:32|寒窗:21|春寒:20|清光:18|清芬:18|琼英:17|晴光:16|玉蕊:16|白雪:16
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,2,2,1.000000,16,16,8.000000,4.000000,0.062500,0.625000,青灯:1|破卷:1|青云:1|客舍:1|屠龙剑:1|高花:1|玉杯:1|繁枝:1|东风:1|尘编:1
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,189,189,1.000000,2053,724,10.862434,8.414960,0.006616,0.196298,寒窗:63|素萼:60|长街:45|冰绡:38|青衫:38|书山:37|暗香:34|星霜:31|素影:31|东风:26
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,200,200,1.000000,1582,506,7.910000,7.698077,0.013417,0.282554,玉兰:111|玉树:68|琼枝:60|寒窗:38|清香:37|风霜:33|春风:32|春寒:26|幽香:22|孤灯:20
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,200,200,1.000000,2133,865,10.665000,8.837244,0.004944,0.165026,风埃:59|清芬:53|琼英:43|灯窗:35|尘笺:30|晴光:29|玉兰:27|冰蕤:26|长风:26|阑干:24
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,2,2,1.000000,16,16,8.000000,4.000000,0.062500,0.625000,残书:1|长街:1|风雨:1|孤灯:1|繁枝:1|冰雪:1|长风:1|微灯:1|虚堂:1|卷帙:1
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,149,149,1.000000,1904,745,12.778523,8.592936,0.005498,0.171218,琼枝:52|寒窗:46|素萼:37|长街:34|青衫:30|琼英:28|书山:25|冰绡:25|青衿:25|素影:24
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,99,99,1.000000,572,262,5.777778,7.289160,0.012171,0.267483,晨钟:29|暮鼓:28|春风:17|宗门:14|弟子:13|长老:13|云山:11|樊笼:10|前路:9|牢笼:9
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,100,100,1.000000,966,514,9.660000,8.392554,0.005386,0.161491,樊笼:23|仙峰:23|丹台:22|青衿:18|万木:15|云:12|剑影:12|劫火:11|万壑:10|鹤:10
c2,沁园春-改革主题,type_e,qwen3.6-plus,65,65,1.000000,966,498,14.861538,8.347887,0.005684,0.172878,青衿:27|丹炉:26|灵根:24|剑阁:19|铁律:14|长风:13|青锋:12|剑阵:11|剑气:11|星斗:10
