db,db_label,prompt_type,model,category,count,proportion,rank,total_poems,categorized_poems,category_coverage
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,豪情壮志,6,0.030000,2,200,200,1.000000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,闲适隐逸,1,0.005000,3,200,200,1.000000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,咏物寄托,168,0.840000,1,200,200,1.000000
c1,沁园春-玉兰主题,type_a,doubao-seed-2.0-pro,豪情壮志,32,0.160000,2,200,200,1.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,豪情壮志,1,0.500000,1,2,2,1.000000
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,咏物寄托,1,0.500000,2,2,2,1.000000
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,咏物寄托,121,0.812081,1,149,149,1.000000
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,豪情壮志,21,0.140940,2,149,149,1.000000
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,离别羁旅,4,0.026846,3,149,149,1.000000
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,春怨秋悲,2,0.013423,4,149,149,1.000000
c1,沁园春-玉兰主题,type_a,qwen3.6-plus,谈禅说理,1,0.006711,5,149,149,1.000000
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,谈禅说理,49,0.494949,1,99,99,1.000000
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,豪情壮志,40,0.404040,2,99,99,1.000000
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,咏物寄托,9,0.090909,3,99,99,1.000000
c2,沁园春-改革主题,type_e,deepseek-3.2-thinking,闲适隐逸,1,0.010101,4,99,99,1.000000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,谈禅说理,80,0.800000,1,100,100,1.000000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,豪情壮志,14,0.140000,2,100,100,1.000000
c2,沁园春-改革主题,type_e,doubao-seed-2.0-pro,咏物寄托,6,0.060000,3,100,100,1.000000
c2,沁园春-改革主题,type_e,qwen3.6-plus,豪情壮志,32,0.492308,1,65,65,1.000000
c2,沁园春-改革主题,type_e,qwen3.6-plus,谈禅说理,22,0.338462,2,65,65,1.000000
c2,沁园春-改革主题,type_e,qwen3.6-plus,咏物寄托,11,0.169231,3,65,65,1.000000
