db,db_label,prompt_type,model,imagery,count,proportion,poem_coverage_count,poem_coverage_ratio,rank,total_poems,imagery_covered_poems,total_imagery_tokens
a1,无限制生成,type_c,gpt-5.4-high,短棹,1,0.052632,1,0.500000,11,2,2,19
a1,无限制生成,type_c,gpt-5.4-high,风月,1,0.052632,1,0.500000,12,2,2,19
a1,无限制生成,type_c,gpt-5.4-high,酒旗,1,0.052632,1,0.500000,13,2,2,19
a1,无限制生成,type_c,gpt-5.4-high,水烟,1,0.052632,1,0.500000,14,2,2,19
a1,无限制生成,type_c,gpt-5.4-high,灯火,1,0.052632,1,0.500000,15,2,2,19
a1,无限制生成,type_c,gpt-5.4-high,秋虫,1,0.052632,1,0.500000,16,2,2,19
a1,无限制生成,type_c,gpt-5.4-high,旧谱,1,0.052632,1,0.500000,17,2,2,19
a1,无限制生成,type_c,gpt-5.4-high,归人,1,0.052632,1,0.500000,18,2,2,19
a1,无限制生成,type_c,gpt-5.4-high,梧桐,1,0.052632,1,0.500000,19,2,2,19
a1,无限制生成,type_c,kimi-k2.5,流光,8,0.022284,8,0.285714,1,28,28,359
a1,无限制生成,type_c,kimi-k2.5,荧屏,6,0.016713,6,0.214286,2,28,28,359
a1,无限制生成,type_c,kimi-k2.5,银河,5,0.013928,5,0.178571,3,28,28,359
a1,无限制生成,type_c,kimi-k2.5,银汉,4,0.011142,4,0.142857,4,28,28,359
a1,无限制生成,type_c,kimi-k2.5,星槎,4,0.011142,4,0.142857,5,28,28,359
a1,无限制生成,type_c,kimi-k2.5,霓裳,4,0.011142,4,0.142857,6,28,28,359
a1,无限制生成,type_c,kimi-k2.5,代码,4,0.011142,4,0.142857,7,28,28,359
a1,无限制生成,type_c,kimi-k2.5,数据流,4,0.011142,4,0.142857,8,28,28,359
a1,无限制生成,type_c,kimi-k2.5,星河,4,0.011142,4,0.142857,9,28,28,359
a1,无限制生成,type_c,kimi-k2.5,琉璃,3,0.008357,3,0.107143,10,28,28,359
a1,无限制生成,type_c,kimi-k2.5,广寒宫,3,0.008357,3,0.107143,11,28,28,359
a1,无限制生成,type_c,kimi-k2.5,蓬山,3,0.008357,3,0.107143,12,28,28,359
a1,无限制生成,type_c,kimi-k2.5,桑田,3,0.008357,3,0.107143,13,28,28,359
a1,无限制生成,type_c,kimi-k2.5,斜阳,3,0.008357,3,0.107143,14,28,28,359
a1,无限制生成,type_c,kimi-k2.5,屏幕,3,0.008357,3,0.107143,15,28,28,359
a1,无限制生成,type_c,kimi-k2.5,算法,3,0.008357,3,0.107143,16,28,28,359
a1,无限制生成,type_c,kimi-k2.5,灯火,3,0.008357,3,0.107143,17,28,28,359
a1,无限制生成,type_c,kimi-k2.5,西风,3,0.008357,3,0.107143,18,28,28,359
a1,无限制生成,type_c,kimi-k2.5,云帆,2,0.005571,2,0.071429,19,28,28,359
a1,无限制生成,type_c,kimi-k2.5,萤焰,2,0.005571,2,0.071429,20,28,28,359
a1,无限制生成,type_c,qwen3-max,芦花,37,0.057994,37,0.770833,1,48,48,638
a1,无限制生成,type_c,qwen3-max,西风,30,0.047022,30,0.625000,2,48,48,638
a1,无限制生成,type_c,qwen3-max,孤舟,26,0.040752,26,0.541667,3,48,48,638
a1,无限制生成,type_c,qwen3-max,烟水,21,0.032915,21,0.437500,4,48,48,638
a1,无限制生成,type_c,qwen3-max,渔灯,17,0.026646,17,0.354167,5,48,48,638
a1,无限制生成,type_c,qwen3-max,明月,16,0.025078,16,0.333333,6,48,48,638
a1,无限制生成,type_c,qwen3-max,渔笛,15,0.023511,15,0.312500,7,48,48,638
a1,无限制生成,type_c,qwen3-max,烟波,13,0.020376,13,0.270833,8,48,48,638
a1,无限制生成,type_c,qwen3-max,星影,12,0.018809,12,0.250000,9,48,48,638
a1,无限制生成,type_c,qwen3-max,寒江,10,0.015674,10,0.208333,10,48,48,638
a1,无限制生成,type_c,qwen3-max,黄芦,9,0.014107,9,0.187500,11,48,48,638
a1,无限制生成,type_c,qwen3-max,霜月,8,0.012539,8,0.166667,12,48,48,638
a1,无限制生成,type_c,qwen3-max,篷窗,8,0.012539,8,0.166667,13,48,48,638
a1,无限制生成,type_c,qwen3-max,雁声,8,0.012539,8,0.166667,14,48,48,638
a1,无限制生成,type_c,qwen3-max,孤灯,8,0.012539,8,0.166667,15,48,48,638
a1,无限制生成,type_c,qwen3-max,霜天,7,0.010972,7,0.145833,16,48,48,638
a1,无限制生成,type_c,qwen3-max,青山,7,0.010972,7,0.145833,17,48,48,638
a1,无限制生成,type_c,qwen3-max,星河,6,0.009404,6,0.125000,18,48,48,638
a1,无限制生成,type_c,qwen3-max,雁字,6,0.009404,6,0.125000,19,48,48,638
a1,无限制生成,type_c,qwen3-max,危樯,6,0.009404,6,0.125000,20,48,48,638
a1,无限制生成,type_c,qwen3.5-flash,雁字,11,0.016566,11,0.220000,1,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,孤舟,9,0.013554,9,0.180000,2,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,暮雨,9,0.013554,9,0.180000,3,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,落叶,7,0.010542,7,0.140000,4,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,明月,6,0.009036,6,0.120000,5,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,烟波,6,0.009036,6,0.120000,6,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,西风,6,0.009036,6,0.120000,7,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,寒蛩,5,0.007530,5,0.100000,8,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,冷月,5,0.007530,5,0.100000,9,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,孤灯,5,0.007530,5,0.100000,10,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,霜华,5,0.007530,5,0.100000,11,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,青山,5,0.007530,5,0.100000,12,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,疏星,5,0.007530,5,0.100000,13,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,远岫,5,0.007530,5,0.100000,14,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,孤鸿,5,0.007530,5,0.100000,15,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,柳岸,4,0.006024,4,0.080000,16,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,寒霜,4,0.006024,4,0.080000,17,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,云,4,0.006024,4,0.080000,18,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,斜阳,4,0.006024,4,0.080000,19,50,50,664
a1,无限制生成,type_c,qwen3.5-flash,烛影,4,0.006024,4,0.080000,20,50,50,664
a1,无限制生成,type_c,qwen3.6-plus,孤舟,13,0.019727,13,0.265306,1,49,49,659
a1,无限制生成,type_c,qwen3.6-plus,雁字,13,0.019727,13,0.265306,2,49,49,659
a1,无限制生成,type_c,qwen3.6-plus,西风,12,0.018209,12,0.244898,3,49,49,659
a1,无限制生成,type_c,qwen3.6-plus,芦花,11,0.016692,11,0.224490,4,49,49,659
