db,db_label,prompt_type,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,sent_pseudo_ratio,imagery_score,whole_pair_count,whole_lex_p50,core_mihi,sentence_count,imagery_jaccard_p50,whole_score,distinct_imagery_count,category_entropy,whole_pseudo_ratio,top10_imagery_concentration,whole_sem_p50,whole_highsim_ratio,whole_sem_p90,imagery_entropy,raw_sentence_comparison_count,topk_sent_mean,sentence_pair_count,top1_sent_mean,whole_lex_p90,sent_score,mihi_full,imagery_jaccard_p90,sent_highsim_ratio,distinct_category_count,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,浪淘沙,33,18,5,18,0.710675,0.120437,153.000000,0.171875,0.575043,180.000000,0.000000,0.677972,77.600000,0.791047,1.000000,0.314793,0.801880,0.107190,0.851980,0.964935,15300.000000,0.641164,153.000000,0.715914,0.261250,0.449240,0.486409,0.132308,0.053159,2.800000,0.529160,0.446171,0.491815,0.083228
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,清平乐,45,20,5,20,0.710175,0.100819,190.000000,0.196296,0.557588,160.000000,0.000000,0.658371,78.800000,0.838437,1.000000,0.280464,0.790185,0.060000,0.837596,0.974988,12160.000000,0.618317,190.000000,0.693874,0.296296,0.434408,0.468474,0.104274,0.032982,2.400000,0.519327,0.451810,0.488944,0.068644
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,祝英台近,25,10,5,10,0.648889,0.086354,45.000000,0.176842,0.665114,160.000000,0.000000,0.848125,64.000000,0.847098,1.000000,0.249392,0.867685,0.737778,0.889091,0.987095,11520.000000,0.681320,45.000000,0.753421,0.232421,0.441434,0.553429,0.079580,0.051852,2.800000,0.643206,0.463175,0.562192,0.102922
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,菩萨蛮,24,20,5,20,0.800351,0.080106,190.000000,0.157692,0.545266,160.000000,0.000000,0.629929,103.800000,0.890992,1.000000,0.208862,0.759753,0.025263,0.816665,0.982791,12160.000000,0.594301,190.000000,0.660117,0.261538,0.441789,0.454115,0.102848,0.009123,2.800000,0.507066,0.431574,0.473095,0.072171
b2,五词牌-改革主题,type_d,qwen3.6-plus,沁园春,19,19,5,19,0.411306,0.098048,171.000000,0.158273,0.723802,477.000000,0.060606,0.923980,229.000000,0.928321,1.000000,0.173529,0.902977,0.964912,0.931697,0.962881,107776.000000,0.782405,171.000000,0.868742,0.215054,0.479141,0.603100,0.125000,0.237817,3.000000,0.643064,0.459447,0.560436,0.163366
b2,五词牌-改革主题,type_d,qwen3.6-plus,浪淘沙,18,18,5,18,0.588235,0.100807,153.000000,0.203125,0.615105,180.000000,0.045455,0.761892,139.000000,0.892935,1.000000,0.222798,0.832860,0.398693,0.885746,0.966838,15300.000000,0.675906,153.000000,0.756613,0.296875,0.435698,0.515507,0.105263,0.080610,3.000000,0.529160,0.446171,0.491815,0.123290
b2,五词牌-改革主题,type_d,qwen3.6-plus,清平乐,30,20,5,20,0.755088,0.050585,190.000000,0.170031,0.561581,160.000000,0.000000,0.671181,152.000000,0.971832,1.000000,0.156789,0.790484,0.104211,0.850323,0.983938,12160.000000,0.598401,190.000000,0.655827,0.240741,0.427625,0.461817,0.059216,0.010877,3.000000,0.519327,0.451810,0.488944,0.072637
b2,五词牌-改革主题,type_d,qwen3.6-plus,祝英台近,10,10,5,10,0.703704,0.074456,45.000000,0.136842,0.649001,168.000000,0.000000,0.813544,114.000000,0.858673,1.000000,0.195489,0.859304,0.577778,0.894456,0.984670,12696.000000,0.697293,45.000000,0.749763,0.202105,0.447892,0.537748,0.078769,0.029630,3.000000,0.643206,0.463175,0.562192,0.086808
b2,五词牌-改革主题,type_d,qwen3.6-plus,菩萨蛮,22,20,5,20,0.781754,0.080935,190.000000,0.173077,0.560821,160.000000,0.000000,0.659029,151.400000,0.839076,1.000000,0.192272,0.784467,0.072632,0.840897,0.975401,12160.000000,0.613117,190.000000,0.674442,0.246154,0.440789,0.467026,0.095713,0.009825,3.000000,0.507066,0.431574,0.473095,0.087726
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,沁园春,13,13,5,13,0.401709,0.201112,78.000000,0.204291,0.748170,326.000000,0.062500,0.914547,69.000000,0.391244,1.000000,0.343137,0.894074,0.948718,0.925887,0.957207,49050.000000,0.839705,78.000000,0.907237,0.273871,0.544821,0.642456,0.181818,0.380342,2.000000,0.639398,0.458045,0.557789,0.190381
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,浪淘沙,34,20,5,20,0.466316,0.290895,190.000000,0.223438,0.542633,200.000000,0.142857,0.644431,49.600000,0.451319,0.997895,0.494358,0.776344,0.029474,0.834548,0.892731,19000.000000,0.705136,190.000000,0.790649,0.319062,0.418212,0.494547,0.305714,0.102807,2.600000,0.531713,0.445985,0.493135,0.049497
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,清平乐,26,20,5,20,0.644211,0.253949,190.000000,0.237037,0.548743,160.000000,0.096364,0.636848,58.200000,0.286397,1.000000,0.454245,0.772774,0.017895,0.822941,0.920986,12160.000000,0.663331,190.000000,0.740842,0.344444,0.441060,0.491742,0.200444,0.063860,2.000000,0.519327,0.451810,0.488944,0.059799
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,菩萨蛮,33,16,5,16,0.578889,0.304988,120.000000,0.230769,0.547131,128.000000,0.113452,0.619828,48.800000,0.000000,0.991667,0.469374,0.748782,0.013333,0.809234,0.919210,7680.000000,0.683558,120.000000,0.793899,0.315769,0.458281,0.500318,0.253302,0.116111,1.000000,0.503544,0.417356,0.464760,0.082372
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,沁园春,40,13,5,13,0.554701,0.105515,78.000000,0.173905,0.753589,325.000000,0.017095,0.926880,118.400000,0.605748,1.000000,0.189063,0.904386,0.982051,0.927587,0.982157,48750.000000,0.804430,78.000000,0.883171,0.240288,0.541789,0.627825,0.082037,0.276068,2.000000,0.639398,0.458045,0.557789,0.195800
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,浪淘沙,41,20,5,20,0.757193,0.142611,190.000000,0.193750,0.583642,200.000000,0.000000,0.685721,97.200000,0.330326,1.000000,0.248334,0.808473,0.127368,0.853370,0.973824,19000.000000,0.661793,190.000000,0.728890,0.269062,0.458877,0.497704,0.093434,0.032632,1.800000,0.531713,0.445985,0.493135,0.090506
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,清平乐,32,20,5,20,0.815088,0.144742,190.000000,0.203704,0.566781,160.000000,0.000000,0.644241,95.000000,0.359436,1.000000,0.267069,0.783013,0.021053,0.828416,0.968951,12160.000000,0.653025,190.000000,0.716494,0.292593,0.472106,0.484094,0.096667,0.031579,2.000000,0.519327,0.451810,0.488944,0.077836
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,祝英台近,31,19,5,19,0.744250,0.131564,171.000000,0.174737,0.694289,304.000000,0.000000,0.842328,128.800000,0.237978,1.000000,0.181603,0.867278,0.691228,0.901479,0.981381,43776.000000,0.732218,171.000000,0.803705,0.244211,0.513353,0.585034,0.068718,0.122417,1.800000,0.618637,0.466103,0.549997,0.144293
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,菩萨蛮,40,16,5,16,0.797778,0.173470,120.000000,0.200000,0.566244,128.000000,0.043816,0.631656,72.200000,0.532839,1.000000,0.338303,0.764000,0.015000,0.822188,0.956012,7680.000000,0.672209,120.000000,0.748395,0.300000,0.486296,0.489143,0.157435,0.056111,2.000000,0.503544,0.417356,0.464760,0.101485
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,沁园春,18,13,5,13,0.420513,0.160605,78.000000,0.186736,0.725959,327.000000,0.056807,0.882243,149.000000,0.391244,1.000000,0.228148,0.887424,0.817949,0.916471,0.964063,49351.200000,0.813360,78.000000,0.902241,0.244906,0.534946,0.616361,0.122493,0.345299,2.000000,0.639398,0.458045,0.557789,0.168170
