db,db_label,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,whole_lex_p50,top1_sent_mean,sentence_count,whole_sem_p50,whole_score,imagery_entropy,topk_sent_mean,imagery_jaccard_p50,sent_highsim_ratio,distinct_category_count,sentence_pair_count,sent_pseudo_ratio,top10_imagery_concentration,whole_pair_count,core_mihi,whole_highsim_ratio,category_entropy,whole_pseudo_ratio,whole_sem_p90,mihi_full,imagery_jaccard_p90,sent_score,whole_lex_p90,distinct_imagery_count,imagery_score,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
b2,五词牌-改革主题,deepseek-3.2-thinking,清平乐,31,20,5,20,0.218519,0.735088,160.000000,0.787581,0.663308,0.984904,0.649784,0.000000,0.001513,3.000000,12160.000000,0.478306,0.256368,190.000000,0.528900,0.078947,0.964888,1.000000,0.845762,0.437449,0.001667,0.364624,0.289259,73.600000,0.056711,0.519327,0.334526,0.436166,0.092734
b2,五词牌-改革主题,deepseek-3.2-thinking,菩萨蛮,20,12,5,12,0.211538,0.726258,96.000000,0.785315,0.652650,0.993899,0.641866,0.000000,0.002225,2.600000,4224.000000,0.449100,0.255710,66.000000,0.518032,0.042424,0.934891,1.000000,0.838361,0.429070,0.000000,0.353498,0.292033,46.000000,0.058263,0.489113,0.294584,0.401575,0.116457
b2,五词牌-改革主题,doubao-seed-2.0-pro,沁园春,28,16,5,16,0.194910,0.900910,400.000000,0.911095,0.933554,0.962529,0.814434,0.032064,0.001800,2.800000,75000.000000,0.538571,0.251992,120.000000,0.708109,0.993333,0.700551,1.000000,0.931133,0.595882,0.106458,0.432564,0.276477,133.800000,0.121927,0.628542,0.326659,0.492695,0.215414
b2,五词牌-改革主题,doubao-seed-2.0-pro,浪淘沙,32,16,5,16,0.170313,0.713078,160.000000,0.802479,0.676859,0.968452,0.639313,0.000000,0.001367,3.000000,12000.000000,0.464833,0.319900,120.000000,0.531537,0.103333,0.783948,1.000000,0.849844,0.451344,0.102737,0.353920,0.253125,71.200000,0.114424,0.534417,0.307818,0.432448,0.099089
b2,五词牌-改革主题,doubao-seed-2.0-pro,清平乐,43,20,5,20,0.196296,0.687797,160.000000,0.797107,0.666908,0.976135,0.617398,0.000000,0.001365,2.400000,12160.000000,0.535395,0.272108,190.000000,0.532176,0.076842,0.892198,1.000000,0.843288,0.445995,0.074848,0.367504,0.300370,81.000000,0.086301,0.519327,0.334526,0.436166,0.096010
b2,五词牌-改革主题,doubao-seed-2.0-pro,祝英台近,20,20,5,20,0.178947,0.760415,320.000000,0.865186,0.849891,0.976903,0.688857,0.000000,0.000822,3.000000,48640.000000,0.548828,0.227941,190.000000,0.644336,0.747368,0.749782,1.000000,0.892746,0.538467,0.076923,0.393102,0.252632,113.000000,0.092151,0.627816,0.376696,0.514812,0.129524
b2,五词牌-改革主题,doubao-seed-2.0-pro,菩萨蛮,12,12,5,12,0.173077,0.652574,96.000000,0.747774,0.614188,0.988981,0.590451,0.000000,0.000000,3.000000,4224.000000,0.434186,0.256757,66.000000,0.484516,0.000000,0.835989,1.000000,0.801002,0.407494,0.064583,0.326028,0.250000,65.000000,0.085000,0.489113,0.294584,0.401575,0.082941
b2,五词牌-改革主题,qwen3.6-plus,沁园春,16,16,5,16,0.161280,0.877076,402.000000,0.903873,0.924602,0.965963,0.785789,0.035423,0.001241,3.000000,75751.000000,0.595253,0.182759,120.000000,0.707519,0.958333,0.886860,1.000000,0.936664,0.587751,0.083571,0.442195,0.209353,202.000000,0.084560,0.628542,0.326659,0.492695,0.214824
b2,五词牌-改革主题,qwen3.6-plus,浪淘沙,16,16,5,16,0.203125,0.761782,160.000000,0.847042,0.786324,0.966795,0.678718,0.043478,0.002833,3.000000,12000.000000,0.551083,0.235294,120.000000,0.610225,0.483333,0.838779,1.000000,0.887121,0.513700,0.105263,0.394993,0.298438,121.000000,0.108035,0.534417,0.307818,0.432448,0.177777
b2,五词牌-改革主题,qwen3.6-plus,清平乐,28,20,5,20,0.162963,0.649494,160.000000,0.787985,0.665453,0.985021,0.595430,0.000000,0.000362,3.000000,12160.000000,0.564720,0.152737,190.000000,0.529983,0.090526,0.970893,1.000000,0.844516,0.436805,0.056347,0.364409,0.237407,151.400000,0.049043,0.519327,0.334526,0.436166,0.093816
